,PV,load,EV_availability,EV_time_to_departure
2019-01-08 18:00:00,57.22404513329131,3390.1839268888907,0,0
2019-01-08 19:00:00,1.8724727792215872,2230.5903693888886,1,16
2019-01-08 20:00:00,0.0,2543.5588577777785,1,15
2019-01-08 21:00:00,0.0,3551.1725631666654,1,14
2019-01-08 22:00:00,1.9276892057508461,9801.656270777783,1,13
2019-01-08 23:00:00,0.0,2139.5850913888885,1,12
2019-01-09 00:00:00,0.0,1174.4062368888895,1,11
2019-01-09 01:00:00,0.0,1190.4021589444442,1,10
2019-01-09 02:00:00,0.0,1135.8211227222223,1,9
2019-01-09 03:00:00,0.0,5578.552530444445,1,8
2019-01-09 04:00:00,55.25217033950454,1674.214900555557,1,7
2019-01-09 05:00:00,100.55351575988297,3379.279279444443,1,6
2019-01-09 06:00:00,2076.807813571449,1480.5640931666655,1,5
2019-01-09 07:00:00,4874.074317252971,2434.3491966111105,1,4
2019-01-09 08:00:00,6742.833771276481,1893.6288641666665,1,3
2019-01-09 09:00:00,7982.826445023989,4194.854924555556,1,2
2019-01-09 10:00:00,8801.021245483098,2969.9922999444448,1,1
2019-01-09 11:00:00,9104.395084444845,7750.506498000001,0,0
2019-01-09 12:00:00,9254.964244935389,2656.5528558333344,0,0
2019-01-09 13:00:00,6988.117826208809,3829.295024333334,0,0
2019-01-09 14:00:00,4701.095835799967,2983.1614633333324,0,0
2019-01-09 15:00:00,1455.564476380215,2753.1630031111113,0,0
2019-01-09 16:00:00,916.7983639051679,3742.5637865,0,0
2019-01-09 17:00:00,1109.780679508625,3079.3133167222227,1,13
2019-01-09 18:00:00,331.28270680192236,3246.7152841666652,1,12
2019-01-09 19:00:00,6.884933802638501,2858.3098005,1,11
2019-01-09 20:00:00,0.0,1871.8683351666662,1,10
2019-01-09 21:00:00,0.0,2411.565577944445,1,9
2019-01-09 22:00:00,0.0,5237.896861166667,1,8
2019-01-09 23:00:00,0.0,1331.198807166667,1,7
2019-01-10 00:00:00,0.0,1256.3838828333335,1,6
2019-01-10 01:00:00,0.0,1189.9885670555554,1,5
2019-01-10 02:00:00,0.0,1271.1227009444447,1,4
2019-01-10 03:00:00,0.0,5561.021776333334,1,3
2019-01-10 04:00:00,52.82957622921346,4253.2207149444475,1,2
2019-01-10 05:00:00,425.34584137155366,1077.2172747777781,1,1
2019-01-10 06:00:00,1185.5264559888278,1266.3730827222228,0,0
2019-01-10 07:00:00,2164.9457968042407,2586.0232521666658,0,0
2019-01-10 08:00:00,3919.247790425528,3334.5958282777783,1,22
2019-01-10 09:00:00,9267.56174555746,4470.190954055555,1,21
2019-01-10 10:00:00,9286.219019561548,4001.506849666668,1,20
2019-01-10 11:00:00,9760.22829569962,4680.243220722223,1,19
2019-01-10 12:00:00,9626.598404768807,2118.992315222222,1,18
2019-01-10 13:00:00,9077.46354237833,2915.0805821666663,1,17
2019-01-10 14:00:00,6364.393152824185,2412.6439372777777,1,16
2019-01-10 15:00:00,1840.315187205397,3995.953584777777,1,15
2019-01-10 16:00:00,1807.9852271760863,2735.1781994444455,1,14
2019-01-10 17:00:00,987.3516593261128,3210.3863769444433,1,13
2019-01-10 18:00:00,198.74391927534103,3572.615417,1,12
2019-01-10 19:00:00,7.930487907388375,2596.531742777778,1,11
2019-01-10 20:00:00,0.0,2686.114999166667,1,10
2019-01-10 21:00:00,0.0,4107.030189888889,1,9
2019-01-10 22:00:00,0.0,8241.492668499997,1,8
2019-01-10 23:00:00,0.0,2178.1632032222224,1,7
2019-01-11 00:00:00,0.0,1548.4598682777778,1,6
2019-01-11 01:00:00,3.908981713032566,1190.8458123333328,1,5
2019-01-11 02:00:00,0.0,3798.5078043888884,1,4
2019-01-11 03:00:00,0.9208119982995501,5688.430846777782,1,3
2019-01-11 04:00:00,93.40771039294965,2934.381025333334,1,2
2019-01-11 05:00:00,736.8761201326448,1840.7925884444458,1,1
2019-01-11 06:00:00,856.241024220918,1249.299568611111,0,0
